"Dhaka South City Corporation (DSCC) - Land Use / Land Cover Spectral Index Summary - All Indices, All Years (Area in km2)"

Year,NDVI (Vegetation Index),,,,NDMI (Moisture Index),,,,NDBI (Built-up Index),,,,UHI (Urban Heat Index),,
,No Vegetation,Low Vegetation,Moderate Vegetation,Dense Vegetation,Dry,Low Moisture,Moderate Moisture,High Moisture,No Built-up,Low Built-up,Moderate Built-up,Dense Built-up,Cool Zone,Normal Zone,Heat Zone
1990,22.51,21.38,4.63,0.14,10.06,18.51,10.90,9.19,38.60,9.90,0.17,0,13.14,18.99,16.54
1995,34.96,12.25,1.45,0,10.93,24.69,6.85,6.18,37.73,10.78,0.16,0,10.37,21.77,16.52
2000,37.29,10.27,1.10,0,16.09,21.40,6.73,4.44,32.57,14.95,1.14,0,15.50,19.98,13.19
2005,40.31,7.76,0.59,0,18.83,21.53,5.46,2.85,29.84,17.28,1.46,0.08,12.23,23.90,12.53
2010,47.69,0.94,0.03,0,14.19,28.31,4.66,1.49,34.47,12.35,1.84,0,14.38,21.80,12.48
2015,42.59,5.81,0.26,0,8.35,31.69,7,1.62,40.31,8.08,0.27,0,15.91,19.01,13.74
2020,40.67,7.70,0.30,0,11.01,28.57,6.85,2.23,37.65,10.60,0.40,0,14.43,22.43,11.80
2025,38.76,9.63,0.27,0,10.24,30.10,6.68,1.65,38.42,10.04,0.21,0,14.31,21.41,12.94
