LST_max,LST_mean,LST_min,LST_stdDev,year
26.20779797,22.04856865,14.55208107,1.426010251,1990
27.28204242,23.08839264,14.86660385,2.205014414,1995
27.75125179,22.18521528,19.00383848,1.149753368,2000
42.91235557,26.56909572,9.124982801,1.27253409,2005
29.34756073,23.95811583,19.32166596,1.035678019,2010
29.08931947,24.81671772,21.08793537,1.019376894,2015
30.46992507,25.83278193,21.63113052,1.153574299,2020
30.72339559,26.86214323,22.89916714,0.862165841,2025
